C/A,UNIT,SCP,DATEn,TIMEn,DESCn,ENTRIESn,EXITSn
A002,R051,02-00-00,05-01-11,00:00:00,REGULAR,003144312,001088151
A002,R051,02-00-00,05-01-11,04:00:00,REGULAR,003144335,001088159              
A002,R051,02-00-00,05-01-11,08:00:00,REGULAR,003144353,001088177
A002,R051,02-00-00,05-01-11,12:00:00,REGULAR,003144424,001088231
A002,R051,02-00-00,05-01-11,16:00:00,REGULAR,003144594,001088275
A002,R051,02-00-00,05-01-11,20:00:00,REGULAR,003144808,001088317
A002,R051,02-00-00,05-02-11,00:00:00,REGULAR,003144895,001088328
A002,R051,02-00-00,05-02-11,04:00:00,REGULAR,003144905,001088331
A002,R051,02-00-00,05-02-11,08:00:00,REGULAR,003144941,001088420
A002,R051,02-00-00,05-02-11,12:00:00,REGULAR,003145094,001088753              
A002,R051,02-00-00,05-02-11,16:00:00,REGULAR,003145337,001088823
A002,R051,02-00-00,05-02-11,20:00:00,REGULAR,003146168,001088888
A002,R051,02-00-00,05-03-11,00:00:00,REGULAR,003146322,001088918
A002,R051,02-00-00,05-03-11,04:00:00,REGULAR,003146335,001088921
A002,R051,02-00-00,05-03-11,08:00:00,REGULAR,003146371,001089014
A002,R051,02-00-00,05-03-11,12:00:00,REGULAR,003146510,001089341
A002,R051,02-00-00,05-03-11,16:00:00,REGULAR,003146790,001089417
A002,R051,02-00-00,05-03-11,20:00:00,REGULAR,003147615,001089478              
A002,R051,02-00-00,05-04-11,00:00:00,REGULAR,003147798,001089515
A002,R051,02-00-00,05-04-11,04:00:00,REGULAR,003147809,001089520
A002,R051,02-00-00,05-04-11,08:00:00,REGULAR,003147859,001089632
A002,R051,02-00-00,05-04-11,12:00:00,REGULAR,003147999,001089965
A002,R051,02-00-00,05-04-11,16:00:00,REGULAR,003148276,001090054
A002,R051,02-00-00,05-04-11,20:00:00,REGULAR,003149108,001090117
A002,R051,02-00-00,05-05-11,00:00:00,REGULAR,003149281,001090139
A002,R051,02-00-00,05-05-11,04:00:00,REGULAR,003149297,001090145              
A002,R051,02-00-00,05-05-11,08:00:00,REGULAR,003149331,001090257
A002,R051,02-00-00,05-05-11,09:04:33,DOOR,003149381,001090417
A002,R051,02-00-00,05-05-11,09:04:40,OPEN,003149381,001090417
A002,R051,02-00-00,05-05-11,09:07:37,DOOR,003149381,001090417
A002,R051,02-00-00,05-05-11,09:13:03,OPEN,003149381,001090417
A002,R051,02-00-00,05-05-11,09:17:28,DOOR,003149385,001090426
A002,R051,02-00-00,05-05-11,12:00:00,OPEN,003149494,001090579
A002,R051,02-00-00,05-05-11,16:00:00,DOOR,003149805,001090652                                   
A002,R051,02-00-00,05-05-11,20:00:00,REGULAR,003150639,001090714
A002,R051,02-00-00,05-06-11,00:00:00,REGULAR,003150815,001090750
A002,R051,02-00-00,05-06-11,04:00:00,REGULAR,003150840,001090759
A002,R051,02-00-00,05-06-11,08:00:00,REGULAR,003150879,001090834
A002,R051,02-00-00,05-06-11,12:00:00,REGULAR,003151017,001091151
A002,R051,02-00-00,05-06-11,16:00:00,REGULAR,003151315,001091227
A002,R051,02-00-00,05-06-11,20:00:00,REGULAR,003152200,001091283                                                            
A002,R051,02-00-01,05-01-11,00:00:00,REGULAR,003094562,000658982
A002,R051,02-00-01,05-01-11,04:00:00,REGULAR,003094586,000658988              
A002,R051,02-00-01,05-01-11,08:00:00,REGULAR,003094602,000658994
A002,R051,02-00-01,05-01-11,12:00:00,REGULAR,003094662,000659025
A002,R051,02-00-01,05-01-11,16:00:00,REGULAR,003094828,000659048
A002,R051,02-00-01,05-01-11,20:00:00,REGULAR,003095033,000659097
A002,R051,02-00-01,05-02-11,00:00:00,REGULAR,003095116,000659109
A002,R051,02-00-01,05-02-11,04:00:00,REGULAR,003095120,000659111
A002,R051,02-00-01,05-02-11,08:00:00,REGULAR,003095156,000659150
A002,R051,02-00-01,05-02-11,12:00:00,REGULAR,003095295,000659308              
A002,R051,02-00-01,05-02-11,16:00:00,REGULAR,003095555,000659356
A002,R051,02-00-01,05-02-11,20:00:00,REGULAR,003096243,000659404
A002,R051,02-00-01,05-03-11,00:00:00,REGULAR,003096385,000659420
A002,R051,02-00-01,05-03-11,04:00:00,REGULAR,003096393,000659423
A002,R051,02-00-01,05-03-11,08:00:00,REGULAR,003096430,000659481
A002,R051,02-00-01,05-03-11,12:00:00,REGULAR,003096582,000659645
A002,R051,02-00-01,05-03-11,16:00:00,REGULAR,003096858,000659697
A002,R051,02-00-01,05-03-11,20:00:00,REGULAR,003097602,000659752              
A002,R051,02-00-01,05-04-11,00:00:00,REGULAR,003097762,000659771
A002,R051,02-00-01,05-04-11,04:00:00,REGULAR,003097770,000659772
A002,R051,02-00-01,05-04-11,08:00:00,REGULAR,003097807,000659825
A002,R051,02-00-01,05-04-11,12:00:00,REGULAR,003097989,000659996
A002,R051,02-00-01,05-04-11,16:00:00,REGULAR,003098256,000660040
A002,R051,02-00-01,05-04-11,20:00:00,REGULAR,003098956,000660094
A002,R051,02-00-01,05-05-11,00:00:00,REGULAR,003099085,000660121
