,Unnamed: 0,C/A,UNIT,SCP,DATEn,TIMEn,DESCn,ENTRIESn,EXITSn,ENTRIESn_hourly
0,0,A002,R051,02-00-00,05-01-11,00:00:00,REGULAR,3144312,1088151,1.0
1,1,A002,R051,02-00-00,05-01-11,04:00:00,REGULAR,3144335,1088159,23.0
2,2,A002,R051,02-00-00,05-01-11,08:00:00,REGULAR,3144353,1088177,18.0
3,3,A002,R051,02-00-00,05-01-11,12:00:00,REGULAR,3144424,1088231,71.0
4,4,A002,R051,02-00-00,05-01-11,16:00:00,REGULAR,3144594,1088275,170.0
5,5,A002,R051,02-00-00,05-01-11,20:00:00,REGULAR,3144808,1088317,214.0
6,6,A002,R051,02-00-00,05-02-11,00:00:00,REGULAR,3144895,1088328,87.0
7,7,A002,R051,02-00-00,05-02-11,04:00:00,REGULAR,3144905,1088331,10.0
8,8,A002,R051,02-00-00,05-02-11,08:00:00,REGULAR,3144941,1088420,36.0
9,9,A002,R051,02-00-00,05-02-11,12:00:00,REGULAR,3145094,1088753,153.0
10,10,A002,R051,02-00-00,05-02-11,16:00:00,REGULAR,3145337,1088823,243.0
11,11,A002,R051,02-00-00,05-02-11,20:00:00,REGULAR,3146168,1088888,831.0
12,12,A002,R051,02-00-00,05-03-11,00:00:00,REGULAR,3146322,1088918,154.0
13,13,A002,R051,02-00-00,05-03-11,04:00:00,REGULAR,3146335,1088921,13.0
14,14,A002,R051,02-00-00,05-03-11,08:00:00,REGULAR,3146371,1089014,36.0
15,15,A002,R051,02-00-00,05-03-11,12:00:00,REGULAR,3146510,1089341,139.0
16,16,A002,R051,02-00-00,05-03-11,16:00:00,REGULAR,3146790,1089417,280.0
17,17,A002,R051,02-00-00,05-03-11,20:00:00,REGULAR,3147615,1089478,825.0
18,18,A002,R051,02-00-00,05-04-11,00:00:00,REGULAR,3147798,1089515,183.0
19,19,A002,R051,02-00-00,05-04-11,04:00:00,REGULAR,3147809,1089520,11.0
20,20,A002,R051,02-00-00,05-04-11,08:00:00,REGULAR,3147859,1089632,50.0
21,21,A002,R051,02-00-00,05-04-11,12:00:00,REGULAR,3147999,1089965,140.0
22,22,A002,R051,02-00-00,05-04-11,16:00:00,REGULAR,3148276,1090054,277.0
23,23,A002,R051,02-00-00,05-04-11,20:00:00,REGULAR,3149108,1090117,832.0
24,24,A002,R051,02-00-00,05-05-11,00:00:00,REGULAR,3149281,1090139,173.0
25,25,A002,R051,02-00-00,05-05-11,04:00:00,REGULAR,3149297,1090145,16.0
26,26,A002,R051,02-00-00,05-05-11,08:00:00,REGULAR,3149331,1090257,34.0
27,34,A002,R051,02-00-00,05-05-11,20:00:00,REGULAR,3150639,1090714,1308.0
28,35,A002,R051,02-00-00,05-06-11,00:00:00,REGULAR,3150815,1090750,176.0
29,36,A002,R051,02-00-00,05-06-11,04:00:00,REGULAR,3150840,1090759,25.0
30,37,A002,R051,02-00-00,05-06-11,08:00:00,REGULAR,3150879,1090834,39.0
31,38,A002,R051,02-00-00,05-06-11,12:00:00,REGULAR,3151017,1091151,138.0
32,39,A002,R051,02-00-00,05-06-11,16:00:00,REGULAR,3151315,1091227,298.0
33,40,A002,R051,02-00-00,05-06-11,20:00:00,REGULAR,3152200,1091283,885.0
34,41,A002,R051,02-00-01,05-01-11,00:00:00,REGULAR,3094562,658982,1.0
35,42,A002,R051,02-00-01,05-01-11,04:00:00,REGULAR,3094586,658988,24.0
36,43,A002,R051,02-00-01,05-01-11,08:00:00,REGULAR,3094602,658994,16.0
37,44,A002,R051,02-00-01,05-01-11,12:00:00,REGULAR,3094662,659025,60.0
38,45,A002,R051,02-00-01,05-01-11,16:00:00,REGULAR,3094828,659048,166.0
