,C/A,UNIT,SCP,DATEn,TIMEn,DESCn,ENTRIESn,EXITSn,ENTRIESn_hourly
0,A002,R051,02-00-00,05-01-11,00:00:00,REGULAR,3144312,1088151,0.0
1,A002,R051,02-00-00,05-01-11,04:00:00,REGULAR,3144335,1088159,23.0
2,A002,R051,02-00-00,05-01-11,08:00:00,REGULAR,3144353,1088177,18.0
3,A002,R051,02-00-00,05-01-11,12:00:00,REGULAR,3144424,1088231,71.0
4,A002,R051,02-00-00,05-01-11,16:00:00,REGULAR,3144594,1088275,170.0
5,A002,R051,02-00-00,05-01-11,20:00:00,REGULAR,3144808,1088317,214.0
6,A002,R051,02-00-00,05-02-11,00:00:00,REGULAR,3144895,1088328,87.0
7,A002,R051,02-00-00,05-02-11,04:00:00,REGULAR,3144905,1088331,10.0
8,A002,R051,02-00-00,05-02-11,08:00:00,REGULAR,3144941,1088420,36.0
9,A002,R051,02-00-00,05-02-11,12:00:00,REGULAR,3145094,1088753,153.0
10,A002,R051,02-00-00,05-02-11,16:00:00,REGULAR,3145337,1088823,243.0
11,A002,R051,02-00-00,05-02-11,20:00:00,REGULAR,3146168,1088888,831.0
12,A002,R051,02-00-00,05-03-11,00:00:00,REGULAR,3146322,1088918,154.0
13,A002,R051,02-00-00,05-03-11,04:00:00,REGULAR,3146335,1088921,13.0
14,A002,R051,02-00-00,05-03-11,08:00:00,REGULAR,3146371,1089014,36.0
15,A002,R051,02-00-00,05-03-11,12:00:00,REGULAR,3146510,1089341,139.0
16,A002,R051,02-00-00,05-03-11,16:00:00,REGULAR,3146790,1089417,280.0
17,A002,R051,02-00-00,05-03-11,20:00:00,REGULAR,3147615,1089478,825.0
18,A002,R051,02-00-00,05-04-11,00:00:00,REGULAR,3147798,1089515,183.0
19,A002,R051,02-00-00,05-04-11,04:00:00,REGULAR,3147809,1089520,11.0
20,A002,R051,02-00-00,05-04-11,08:00:00,REGULAR,3147859,1089632,50.0
21,A002,R051,02-00-00,05-04-11,12:00:00,REGULAR,3147999,1089965,140.0
22,A002,R051,02-00-00,05-04-11,16:00:00,REGULAR,3148276,1090054,277.0
23,A002,R051,02-00-00,05-04-11,20:00:00,REGULAR,3149108,1090117,832.0
24,A002,R051,02-00-00,05-05-11,00:00:00,REGULAR,3149281,1090139,173.0
25,A002,R051,02-00-00,05-05-11,04:00:00,REGULAR,3149297,1090145,16.0
26,A002,R051,02-00-00,05-05-11,08:00:00,REGULAR,3149331,1090257,34.0
34,A002,R051,02-00-00,05-05-11,20:00:00,REGULAR,3150639,1090714,1308.0
35,A002,R051,02-00-00,05-06-11,00:00:00,REGULAR,3150815,1090750,176.0
36,A002,R051,02-00-00,05-06-11,04:00:00,REGULAR,3150840,1090759,25.0
37,A002,R051,02-00-00,05-06-11,08:00:00,REGULAR,3150879,1090834,39.0
38,A002,R051,02-00-00,05-06-11,12:00:00,REGULAR,3151017,1091151,138.0
39,A002,R051,02-00-00,05-06-11,16:00:00,REGULAR,3151315,1091227,298.0
40,A002,R051,02-00-00,05-06-11,20:00:00,REGULAR,3152200,1091283,885.0
41,A002,R051,02-00-01,05-01-11,00:00:00,REGULAR,3094562,658982,0.0
42,A002,R051,02-00-01,05-01-11,04:00:00,REGULAR,3094586,658988,24.0
43,A002,R051,02-00-01,05-01-11,08:00:00,REGULAR,3094602,658994,16.0
44,A002,R051,02-00-01,05-01-11,12:00:00,REGULAR,3094662,659025,60.0
45,A002,R051,02-00-01,05-01-11,16:00:00,REGULAR,3094828,659048,166.0
46,A002,R051,02-00-01,05-01-11,20:00:00,REGULAR,3095033,659097,205.0
47,A002,R051,02-00-01,05-02-11,00:00:00,REGULAR,3095116,659109,83.0
48,A002,R051,02-00-01,05-02-11,04:00:00,REGULAR,3095120,659111,4.0
49,A002,R051,02-00-01,05-02-11,08:00:00,REGULAR,3095156,659150,36.0
50,A002,R051,02-00-01,05-02-11,12:00:00,REGULAR,3095295,659308,139.0
51,A002,R051,02-00-01,05-02-11,16:00:00,REGULAR,3095555,659356,260.0
52,A002,R051,02-00-01,05-02-11,20:00:00,REGULAR,3096243,659404,688.0
53,A002,R051,02-00-01,05-03-11,00:00:00,REGULAR,3096385,659420,142.0
54,A002,R051,02-00-01,05-03-11,04:00:00,REGULAR,3096393,659423,8.0
55,A002,R051,02-00-01,05-03-11,08:00:00,REGULAR,3096430,659481,37.0
56,A002,R051,02-00-01,05-03-11,12:00:00,REGULAR,3096582,659645,152.0
57,A002,R051,02-00-01,05-03-11,16:00:00,REGULAR,3096858,659697,276.0
58,A002,R051,02-00-01,05-03-11,20:00:00,REGULAR,3097602,659752,744.0
59,A002,R051,02-00-01,05-04-11,00:00:00,REGULAR,3097762,659771,160.0
60,A002,R051,02-00-01,05-04-11,04:00:00,REGULAR,3097770,659772,8.0
61,A002,R051,02-00-01,05-04-11,08:00:00,REGULAR,3097807,659825,37.0
62,A002,R051,02-00-01,05-04-11,12:00:00,REGULAR,3097989,659996,182.0
63,A002,R051,02-00-01,05-04-11,16:00:00,REGULAR,3098256,660040,267.0
64,A002,R051,02-00-01,05-04-11,20:00:00,REGULAR,3098956,660094,700.0
65,A002,R051,02-00-01,05-05-11,00:00:00,REGULAR,3099085,660121,129.0
66,A002,R051,02-00-01,05-05-11,04:00:00,REGULAR,3099098,660123,13.0
67,A002,R051,02-00-01,05-05-11,08:00:00,REGULAR,3099132,660164,34.0
75,A002,R051,02-00-01,05-06-11,00:00:00,REGULAR,3100468,660502,1336.0
76,A002,R051,02-00-01,05-06-11,04:00:00,REGULAR,3100498,660504,30.0
77,A002,R051,02-00-01,05-06-11,08:00:00,REGULAR,3100531,660564,33.0
78,A002,R051,02-00-01,05-06-11,12:00:00,REGULAR,3100687,660732,156.0
79,A002,R051,02-00-01,05-06-11,16:00:00,REGULAR,3100981,660771,294.0
80,A002,R051,02-00-01,05-06-11,20:00:00,REGULAR,3101676,660812,695.0
81,A002,R051,02-03-00,05-01-11,00:00:00,REGULAR,1287189,4586278,0.0
82,A002,R051,02-03-00,05-01-11,04:00:00,REGULAR,1287206,4586303,17.0
83,A002,R051,02-03-00,05-01-11,08:00:00,REGULAR,1287212,4586328,6.0
84,A002,R051,02-03-00,05-01-11,12:00:00,REGULAR,1287232,4586527,20.0
85,A002,R051,02-03-00,05-01-11,16:00:00,REGULAR,1287292,4586785,60.0
86,A002,R051,02-03-00,05-01-11,20:00:00,REGULAR,1287380,4587045,88.0
87,A002,R051,02-03-00,05-02-11,00:00:00,REGULAR,1287421,4587141,41.0
88,A002,R051,02-03-00,05-02-11,04:00:00,REGULAR,1287425,4587147,4.0
89,A002,R051,02-03-00,05-02-11,08:00:00,REGULAR,1287440,4587410,15.0
90,A002,R051,02-03-00,05-02-11,12:00:00,REGULAR,1287507,4588175,67.0
91,A002,R051,02-03-00,05-02-11,16:00:00,REGULAR,1287612,4588498,105.0
92,A002,R051,02-03-00,05-02-11,20:00:00,REGULAR,1287890,4589071,278.0
93,A002,R051,02-03-00,05-03-11,00:00:00,REGULAR,1287970,4589221,80.0
94,A002,R051,02-03-00,05-03-11,04:00:00,REGULAR,1287975,4589237,5.0
95,A002,R051,02-03-00,05-03-11,08:00:00,REGULAR,1287989,4589518,14.0
96,A002,R051,02-03-00,05-03-11,12:00:00,REGULAR,1288060,4590346,71.0
97,A002,R051,02-03-00,05-03-11,16:00:00,REGULAR,1288170,4590719,110.0
98,A002,R051,02-03-00,05-03-11,20:00:00,REGULAR,1288444,4591303,274.0
99,A002,R051,02-03-00,05-04-11,00:00:00,REGULAR,1288518,4591476,74.0
