,UNIT,DATEn,TIMEn,DESCn,ENTRIESn_hourly,EXITSn_hourly,Hour
0,R022,05-01-11,00:00:00,REGULAR,0.0,0.0,0
1,R022,05-01-11,04:00:00,REGULAR,562.0,173.0,4
2,R022,05-01-11,08:00:00,REGULAR,160.0,194.0,8
3,R022,05-01-11,12:00:00,REGULAR,820.0,1025.0,12
4,R022,05-01-11,16:00:00,REGULAR,2385.0,1954.0,16
5,R022,05-01-11,20:00:00,REGULAR,3631.0,2010.0,20
6,R022,05-02-11,00:00:00,REGULAR,1788.0,733.0,0
7,R022,05-02-11,04:00:00,REGULAR,246.0,70.0,4
8,R022,05-02-11,08:00:00,REGULAR,236.0,767.0,8
9,R022,05-02-11,12:00:00,REGULAR,1611.0,3681.0,12
10,R022,05-02-11,16:00:00,REGULAR,3675.0,2337.0,16
11,R022,05-02-11,20:00:00,REGULAR,7598.0,2500.0,20
12,R022,05-03-11,00:00:00,REGULAR,3395.0,717.0,0
13,R022,05-03-11,04:00:00,REGULAR,309.0,52.0,4
14,R022,05-03-11,08:00:00,REGULAR,250.0,779.0,8
15,R022,05-03-11,12:00:00,REGULAR,138.0,1192.0,12
16,R022,05-03-11,16:00:00,REGULAR,3919.0,3471.0,16
17,R022,05-03-11,20:00:00,REGULAR,9651.0,4037.0,20
18,R022,05-04-11,00:00:00,REGULAR,3687.0,789.0,0
19,R022,05-04-11,04:00:00,REGULAR,285.0,66.0,4
20,R022,05-04-11,08:00:00,REGULAR,266.0,738.0,8
21,R022,05-04-11,12:00:00,REGULAR,1657.0,3411.0,12
22,R022,05-04-11,16:00:00,REGULAR,3651.0,2943.0,16
23,R022,05-04-11,20:00:00,REGULAR,7877.0,2706.0,20
24,R022,05-05-11,00:00:00,REGULAR,3514.0,766.0,0
25,R022,05-05-11,04:00:00,REGULAR,145.0,49.0,4
26,R022,05-05-11,08:00:00,REGULAR,366.0,756.0,8
27,R022,05-05-11,12:00:00,REGULAR,1913.0,3968.0,12
28,R022,05-05-11,16:00:00,REGULAR,4269.0,2662.0,16
29,R022,05-05-11,20:00:00,REGULAR,5846.0,2414.0,20
30,R022,05-06-11,00:00:00,REGULAR,2912.0,796.0,0
31,R022,05-06-11,04:00:00,REGULAR,4046.0,695.0,4
32,R022,05-06-11,08:00:00,REGULAR,246.0,633.0,8
33,R022,05-06-11,12:00:00,REGULAR,1615.0,3653.0,12
34,R022,05-06-11,16:00:00,REGULAR,4360.0,2667.0,16
35,R022,05-06-11,20:00:00,REGULAR,8221.0,2738.0,20
36,R023,05-01-11,00:00:00,REGULAR,0.0,0.0,0
37,R023,05-01-11,04:00:00,REGULAR,1094.0,408.0,4
38,R023,05-01-11,08:00:00,REGULAR,445.0,654.0,8
39,R023,05-01-11,12:00:00,REGULAR,1580.0,3013.0,12
40,R023,05-01-11,16:00:00,REGULAR,2457.0,3270.0,16
41,R023,05-01-11,20:00:00,REGULAR,3743.0,2838.0,20
42,R023,05-02-11,00:00:00,REGULAR,2620.0,1191.0,0
43,R023,05-02-11,04:00:00,REGULAR,400.0,124.0,4
44,R023,05-02-11,08:00:00,REGULAR,1748.0,2408.0,8
45,R023,05-02-11,08:06:37,REGULAR,115.0,210.0,8
46,R023,05-02-11,12:00:00,REGULAR,4885.0,9513.0,12
47,R023,05-02-11,16:00:00,REGULAR,4190.0,4505.0,16
48,R023,05-02-11,20:00:00,REGULAR,10874.0,6858.0,20
49,R023,05-03-11,00:00:00,REGULAR,3767.0,1622.0,0
50,R023,05-03-11,04:00:00,REGULAR,546.0,142.0,4
51,R023,05-03-11,08:00:00,REGULAR,1073.0,1891.0,8
